sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
533#s0,0,1,0,1,0,1,0,1
97#s0,1,1,1,1,1,1,1,1
47#s0,1,1,1,1,1,1,1,1
415#s0,0,0,0,0,0,0,0,0
2472#s0,1,1,1,1,1,1,1,1
1062#s0,1,1,1,1,1,1,1,1
218#s0,1,1,1,1,1,1,1,1
1453#s0,1,1,1,1,1,1,1,1
248#s0,1,1,1,1,1,1,1,1
4185#s0,1,1,1,1,1,1,1,1
376#s0,1,1,1,1,1,1,1,1
301#s0,1,1,1,1,1,1,1,0
924#s0,1,1,1,1,1,1,1,1
1589#s0,1,1,1,1,1,1,1,1
331#s0,0,0,0,0,0,0,0,1
84#s0,1,1,1,1,1,1,1,1
128#s0,1,1,1,1,1,1,1,1
2302#s0,1,1,1,1,1,1,1,1
199#s0,1,1,1,1,1,1,1,0
226#s0,1,1,1,1,1,1,1,1
3437#s0,1,1,1,1,1,1,1,1
4433#s0,1,0,0,0,0,0,0,1
1336#s0,1,1,1,1,1,1,1,1
503#s3,1,1,1,1,1,1,1,1
118#s0,1,1,1,1,1,1,1,1
2867#s1,0,0,0,0,1,0,0,1
215#s0,1,1,1,1,1,1,1,1
35#s0,1,1,1,1,1,1,1,1
4226#s0,1,1,1,1,1,1,1,1
1689#s0,1,1,1,1,1,1,1,1
436#s0,1,1,1,1,1,1,1,1
3906#s1,1,0,0,0,0,0,0,0
437#s0,1,1,1,1,1,1,1,1
1476#s2,1,1,1,1,1,1,1,1
775#s0,1,1,1,1,1,1,1,1
3175#s1,1,0,0,1,1,1,0,0
130#s0,1,1,1,1,1,1,1,1
2909#s0,1,1,1,1,1,1,1,1
3061#s0,1,1,1,1,1,1,1,1
653#s0,1,1,1,1,1,1,1,1
1733#s0,1,1,1,1,1,1,1,1
240#s0,1,1,1,1,1,1,1,1
228#s0,1,1,1,1,1,1,1,1
457#s0,1,1,1,1,1,1,1,1
246#s0,1,1,0,1,1,1,0,1
2422#s0,1,1,1,1,1,1,1,1
1722#s1,1,0,0,0,0,0,0,1
2635#s0,1,1,1,1,1,1,1,1
2988#s1,0,0,0,0,0,0,0,1
74#s0,1,1,1,1,1,1,1,1
444#s0,1,1,1,1,1,1,0,1
2944#s0,1,0,0,1,1,1,1,0
322#s0,0,0,0,0,0,0,0,1
318#s1,1,0,0,0,0,0,0,0
2123#s1,1,0,0,0,0,0,0,1
2182#s0,1,1,1,1,1,1,1,0
3020#s0,1,1,1,1,1,1,1,1
292#s2,1,0,1,0,0,1,0,1
76#s0,1,1,1,1,1,1,1,1
392#s0,1,1,1,1,1,1,1,1
633#s0,1,1,1,1,1,1,1,1
2449#s1,0,0,0,1,1,0,1,0
1932#s0,0,0,0,0,0,1,0,1
421#s1,1,0,0,0,1,0,1,0
786#s0,1,0,0,0,0,1,1,1
3351#s0,1,1,1,1,1,1,1,1
3044#s0,1,1,1,1,1,1,1,1
3809#s0,1,0,0,1,0,1,1,0
3531#s0,1,1,1,1,1,1,1,1
616#s0,1,1,0,0,0,0,0,1
3028#s0,1,0,1,0,0,1,0,1
1887#s0,1,1,1,1,1,1,1,1
2065#s0,1,1,1,1,1,1,1,1
1859#s1,1,1,1,1,1,1,1,1
1056#s0,1,1,1,1,1,1,1,1
176#s0,1,1,1,1,1,1,1,1
119#s0,0,0,0,0,0,0,0,1
180#s0,0,0,1,0,0,1,0,1
3115#s0,0,0,0,0,0,0,0,1
85#s0,0,0,1,0,1,0,0,1
3234#s2,1,1,1,1,1,1,1,1
3041#s0,1,1,1,1,1,1,1,1
947#s0,1,1,1,1,1,1,1,1
3932#s1,1,1,1,1,1,1,1,1
143#s0,1,1,1,1,1,1,1,1
2745#s0,0,0,0,0,0,1,1,1
402#s0,1,1,1,1,1,1,1,1
4211#s0,0,0,0,0,0,1,0,0
3109#s0,1,1,1,1,1,1,1,1
285#s2,1,1,1,1,0,0,1,1
65#s0,1,1,1,1,1,1,1,1
1213#s0,1,1,1,1,1,1,1,1
53#s0,1,1,1,1,1,1,1,1
2261#s2,0,1,0,0,1,0,1,1
305#s1,1,0,0,0,0,1,0,0
2546#s1,1,0,0,0,0,0,0,1
45#s0,1,1,1,1,1,1,1,1
1904#s0,1,1,1,1,1,1,1,1
943#s0,1,0,0,0,0,1,0,1
1654#s0,0,1,1,0,1,1,1,1
3658#s0,1,1,1,1,1,1,1,1
4167#s1,0,1,0,0,1,1,0,1
1141#s1,1,1,1,1,1,1,1,1
4410#s0,0,0,0,0,0,0,0,1
1786#s0,0,0,0,0,0,0,0,0
532#s0,0,0,0,0,0,0,0,0
3346#s0,1,1,1,1,1,1,1,1
4366#s0,1,1,1,1,1,1,1,1
449#s1,1,1,1,1,1,1,1,1
3240#s0,1,1,1,1,1,1,1,1
