sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
1147888#0#s0,1,1,1,1,1,1,1,1
192401#0#s0,1,1,1,1,1,1,1,1
11987635#0#s2,0,0,0,0,0,0,0,0
6099588#0#s1,1,1,0,0,1,1,1,1
2738109#0#s0,1,1,1,1,1,1,1,1
7484600#0#s0,1,1,1,1,1,1,1,1
5726461#0#s0,1,1,0,1,0,1,1,0
2363758#0#s0,1,1,1,1,1,1,1,0
5847117#0#s0,1,1,1,1,1,1,1,1
11920401#0#s0,1,1,1,1,1,1,1,1
951095#0#s0,0,0,0,0,0,1,0,1
11355021#0#s1,1,0,0,1,1,0,1,0
956150#0#s2,1,0,1,1,1,1,1,0
2945407#0#s0,1,1,1,1,1,1,1,1
4398623#0#s1,0,0,0,0,0,0,0,0
6723434#0#s1,1,1,1,1,1,1,1,1
398784#0#s0,0,0,0,0,1,0,0,0
4126991#0#s0,1,1,1,1,1,1,1,1
200297#0#s1,1,0,0,0,0,0,0,0
9789633#0#s0,1,0,0,1,1,1,1,0
7915063#0#s1,1,0,0,0,0,0,0,1
157998#0#s0,1,1,1,1,1,1,1,1
10127282#0#s0,1,1,1,1,1,1,1,1
305329#0#s1,1,0,0,0,0,1,0,0
4725485#0#s0,1,1,1,0,0,1,0,1
4394785#0#s0,0,0,0,0,0,1,0,1
4132558#0#s4,1,0,0,1,1,0,1,0
3860308#0#s0,1,1,1,1,1,1,1,1
4221106#0#s0,1,0,0,0,0,1,0,0
7658067#0#s6,0,1,1,1,1,0,1,0
11961220#0#s0,1,0,1,1,1,1,1,1
2450456#0#s0,1,1,1,1,1,1,1,1
2673201#0#s0,1,1,1,1,1,1,1,1
8905150#0#s0,1,1,1,1,1,1,1,1
12112237#0#s0,1,1,1,1,1,1,1,1
157290#0#s2,0,0,0,0,0,0,0,1
8232704#0#s1,1,0,0,0,0,1,0,0
1146737#0#s2,1,1,1,0,0,1,1,0
2831569#0#s1,0,1,1,1,1,1,1,1
9035067#0#s1,1,1,0,0,1,0,0,1
1897088#0#s2,1,0,0,0,0,0,0,0
8538123#0#s1,0,1,1,1,1,1,1,1
8784761#0#s2,0,1,0,0,0,0,0,1
11007591#0#s2,1,1,1,1,1,1,1,0
6067756#0#s1,1,1,1,0,1,1,1,1
11651582#0#s0,1,1,1,1,1,1,1,1
149671#0#s0,1,1,1,1,1,1,1,1
222697#0#s0,1,1,1,1,1,1,1,1
11485106#0#s1,1,1,1,1,1,1,1,0
7723650#0#s0,1,1,1,1,1,1,1,1
6885712#0#s0,0,0,0,0,0,0,0,0
2937591#0#s1,0,0,0,0,0,0,0,1
2766096#0#s0,1,0,1,0,1,1,0,1
3884676#0#s0,1,1,1,1,1,1,1,1
8138923#0#s1,0,0,0,0,0,1,0,0
4508726#0#s1,1,0,1,1,1,1,1,1
3955937#0#s2,0,0,0,0,0,0,0,0
5705925#0#s0,1,0,0,0,0,1,0,0
5339208#0#s0,1,1,1,1,1,1,1,1
7084034#0#s0,1,1,1,1,1,1,1,1
187463#0#s0,0,0,0,0,0,0,0,1
9820641#0#s0,1,1,1,1,1,1,1,1
6152057#0#s1,1,0,0,0,0,0,0,1
7012019#0#s0,1,1,1,0,1,1,0,1
958471#0#s0,1,1,1,1,1,1,1,1
11437936#0#s0,1,1,1,1,1,0,1,1
5259302#0#s0,1,1,1,1,1,1,1,1
1123175#0#s0,1,1,1,1,1,1,1,1
134613#0#s0,1,1,1,1,1,0,1,0
8952182#0#s0,1,0,1,1,1,1,1,1
5159758#0#s0,1,0,1,0,1,1,1,1
165072#0#s7,1,1,0,0,1,1,1,0
7976758#0#s0,1,1,1,1,1,1,1,1
7518338#0#s0,1,1,1,1,0,1,1,1
